"","age","rate","value"
"1","0_to_4",22.9,387
"2","65_to_69",351.3,4752
"3","90+",2678.8,4453
"4","40_to_44",233.3,4314
"5","60_to_64",365.8,5586
"6","15_to_19",35.2,606
"7","35_to_39",203.2,3861
"8","5_to_9",14.4,260
"9","45_to_49",314.7,5350
"10","80_to_84",1124.4,7145
"11","20_to_24",113.5,1802
"12","10_to_14",16.2,293
"13","70_to_74",412.7,5490
"14","25_to_29",195.7,3508
"15","50_to_54",337,6199
"16","30_to_34",205.8,3978
"17","55_to_59",324.5,6253
"18","85_to_89",1792.2,6288
"19","75_to_79",694.9,6259
