"","age","value","rate"
"1","10_to_14",576,33.4
"2","75_to_79",5966,573.7
"3","20_to_24",6272,417.4
"4","15_to_19",1794,109.7
"5","65_to_69",4072,282
"6","40_to_44",8501,451.1
"7","90+",11033,3143
"8","0_to_4",396,24.7
"9","50_to_54",11121,592.6
"10","70_to_74",4610,318.1
"11","35_to_39",8082,423.7
"12","30_to_34",9191,491.9
"13","55_to_59",10062,508
"14","5_to_9",471,25.3
"15","25_to_29",9690,571.6
"16","45_to_49",10011,584
"17","85_to_89",9745,1842.4
"18","60_to_64",6897,435.3
"19","80_to_84",8300,1031.8
