"","age","rate","value"
"1","55_to_59",129,2555
"2","65_to_69",113.3,1636
"3","70_to_74",141.3,2048
"4","25_to_29",123.9,2101
"5","75_to_79",237.1,2466
"6","10_to_14",5,86
"7","60_to_64",127.5,2020
"8","30_to_34",115.8,2164
"9","0_to_4",10.2,164
"10","85_to_89",556.8,2945
"11","20_to_24",61.2,920
"12","5_to_9",3.4,63
"13","40_to_44",107.2,2020
"14","80_to_84",362.6,2917
"15","35_to_39",97.2,1854
"16","45_to_49",147.6,2530
"17","50_to_54",148.9,2794
"18","90+",738.1,2591
"19","15_to_19",13.6,223
