age,rate,value
0_to_4,1386.6,1121
5_to_9,1139.6,1272
10_to_14,2106.6,1887
15_to_19,5571.7,4909
20_to_24,8036.7,6677
25_to_29,6589.7,6330
30_to_34,5766,5865
35_to_39,5657.4,5470
40_to_44,5568.7,5207
45_to_49,6624.4,5690
50_to_54,6001.4,6127
55_to_59,4762.9,5391
60_to_64,3704.8,3666
65_to_69,2165,2026
70_to_74,1952.5,1809
75_to_79,2440.4,1642
80_to_84,3401.4,1703
85_to_89,5184.4,1684
90+,8451.4,1760
