"","age","rate","value"
"1","25_to_29",3199.6,57360
"2","5_to_9",851.7,15413
"3","15_to_19",3132.2,53857
"4","70_to_74",1642.2,21844
"5","35_to_39",2650.7,50377
"6","0_to_4",785.1,13293
"7","30_to_34",2868.7,55456
"8","75_to_79",2103.2,18944
"9","45_to_49",2892.4,49176
"10","90+",6179.8,10273
"11","40_to_44",2546.1,47081
"12","20_to_24",4021.6,63852
"13","80_to_84",2894.8,18395
"14","65_to_69",1809.4,24477
"15","10_to_14",1527.7,27689
"16","85_to_89",4254.8,14928
"17","55_to_59",2457.4,47352
"18","50_to_54",2846.3,52352
"19","60_to_64",2362.8,36085
