"","age","rate","value"
"1","75_to_79",783.3,7055
"2","20_to_24",163.1,2589
"3","35_to_39",255.8,4861
"4","30_to_34",264.7,5117
"5","40_to_44",282.4,5222
"6","65_to_69",398.3,5388
"7","70_to_74",468.1,6226
"8","25_to_29",256.6,4600
"9","55_to_59",379.9,7320
"10","85_to_89",2061.3,7232
"11","15_to_19",55.3,951
"12","0_to_4",26,440
"13","50_to_54",397,7302
"14","45_to_49",375.1,6377
"15","60_to_64",423.7,6471
"16","90+",3155.2,5245
"17","10_to_14",28.8,522
"18","80_to_84",1279.2,8129
"19","5_to_9",26.6,482
