"","age","rate","value"
"1","40_to_44",412.4,7625
"2","5_to_9",68.7,1243
"3","60_to_64",519.8,7939
"4","80_to_84",1444.6,9180
"5","50_to_54",510.2,9384
"6","0_to_4",71.6,1213
"7","70_to_74",539.9,7182
"8","65_to_69",484.5,6554
"9","90+",3528.2,5865
"10","45_to_49",503.8,8566
"11","15_to_19",158.1,2718
"12","20_to_24",350.4,5563
"13","55_to_59",479.6,9241
"14","10_to_14",77.2,1400
"15","35_to_39",404.8,7693
"16","85_to_89",2298.7,8065
"17","75_to_79",882.5,7949
"18","30_to_34",428.4,8282
"19","25_to_29",434,7780
