age,rate,value
0_to_4,2196.9,1776
5_to_9,1670.9,1865
10_to_14,3094.6,2772
15_to_19,7677.1,6764
20_to_24,12055.7,10016
25_to_29,10050.1,9654
30_to_34,8854,9006
35_to_39,8551.3,8268
40_to_44,8156.8,7627
45_to_49,9760.9,8384
50_to_54,8906.7,9093
55_to_59,7213.7,8165
60_to_64,5723.9,5664
65_to_69,3427.1,3207
70_to_74,3047,2823
75_to_79,3773.6,2539
80_to_84,5258.8,2633
85_to_89,7887.4,2562
90+,12960.4,2699
