"","age","rate","value"
"1","85_to_89",7541.7,26460
"2","15_to_19",5848,100554
"3","80_to_84",5074.3,32245
"4","70_to_74",3298.2,43871
"5","75_to_79",3933.5,35429
"6","5_to_9",2207.2,39941
"7","65_to_69",3898.8,52743
"8","20_to_24",8541.5,135615
"9","90+",11160.2,18552
"10","55_to_59",5733.3,110477
"11","45_to_49",7004.3,119087
"12","50_to_54",6672.3,122724
"13","10_to_14",3458.2,62678
"14","0_to_4",2088.5,35362
"15","35_to_39",6767.3,128616
"16","30_to_34",7223.9,139647
"17","60_to_64",5400,82471
"18","40_to_44",6423,118769
"19","25_to_29",7885.3,141362
