age,value,rate
0_to_4,676,798.1
5_to_9,719,679.2
10_to_14,1155,1226
15_to_19,2796,3015.8
20_to_24,3773,4225.1
25_to_29,3089,2904.8
30_to_34,2879,2702.2
35_to_39,2588,2688.4
40_to_44,2457,2687.7
45_to_49,2755,3293
50_to_54,2853,2941.8
55_to_59,2844,2650.7
60_to_64,1956,2083.1
65_to_69,1326,1497.2
70_to_74,1248,1440.5
75_to_79,1256,2110.9
80_to_84,1130,2846.3
85_to_89,867,4052.2
90+,619,6387.4
