"","age","rate","value"
"1","45_to_49",3405.3,58371
"2","35_to_39",3115.8,59431
"3","90+",6203,21775
"4","50_to_54",3225.4,60525
"5","30_to_34",3478.5,64988
"6","80_to_84",2358.1,18970
"7","75_to_79",1640.8,17064
"8","15_to_19",3889.7,63589
"9","40_to_44",2971,55989
"10","20_to_24",5017.7,75392
"11","25_to_29",4059,68805
"12","10_to_14",1426.6,24619
"13","60_to_64",2244.1,35560
"14","55_to_59",2647.7,52439
"15","0_to_4",755.3,12134
"16","5_to_9",707.5,13166
"17","65_to_69",1452.8,20978
"18","70_to_74",1261.5,18282
"19","85_to_89",3761.6,19896
