"","age","rate","value"
"1","25_to_29",8678.1,155574
"2","65_to_69",4261.3,57647
"3","80_to_84",5455.8,34669
"4","55_to_59",6315.9,121702
"5","30_to_34",8040.6,155435
"6","40_to_44",7123.6,131723
"7","35_to_39",7545.1,143399
"8","20_to_24",9285.4,147426
"9","75_to_79",4245.1,38236
"10","90+",12117.3,20143
"11","15_to_19",6259.2,107624
"12","50_to_54",7353.6,135254
"13","5_to_9",2459.4,44506
"14","10_to_14",3743.3,67847
"15","70_to_74",3569.3,47477
"16","60_to_64",5959.5,91015
"17","45_to_49",7709.1,131069
"18","85_to_89",8114,28468
"19","0_to_4",2387.5,40425
