"","age","rate","value"
"1","5_to_9",2092.5,38943
"2","65_to_69",3535.1,51045
"3","55_to_59",6514.6,129024
"4","30_to_34",9181.7,171540
"5","35_to_39",8261.5,157580
"6","75_to_79",3548.3,36901
"7","10_to_14",3733.7,64434
"8","15_to_19",7573.8,123816
"9","90+",12771.5,44833
"10","40_to_44",7716.3,145417
"11","0_to_4",2204.4,35412
"12","20_to_24",11482.7,172530
"13","25_to_29",10445.9,177073
"14","60_to_64",5568.5,88239
"15","50_to_54",7941.8,149030
"16","80_to_84",4854.2,39050
"17","70_to_74",2927.5,42424
"18","85_to_89",7576.5,40074
"19","45_to_49",8430,144498
