"","age","rate","value"
"1","35_to_39",6487.4,123297
"2","50_to_54",6427.9,118228
"3","55_to_59",5511.7,106207
"4","40_to_44",6167.6,114045
"5","70_to_74",3185.2,42368
"6","15_to_19",5703.8,98074
"7","60_to_64",5190.9,79278
"8","30_to_34",6935.6,134073
"9","5_to_9",2117.6,38321
"10","0_to_4",1980.7,33538
"11","65_to_69",3755.9,50810
"12","10_to_14",3355.3,60813
"13","45_to_49",6743.1,114646
"14","25_to_29",7603.6,136312
"15","80_to_84",4923.7,31288
"16","85_to_89",7301.7,25618
"17","90+",10815.5,17979
"18","75_to_79",3802.4,34249
"19","20_to_24",8257.5,131105
