"","age","rate","value"
"1","70_to_74",534.3,7743
"2","65_to_69",567.7,8197
"3","35_to_39",1110.8,21188
"4","60_to_64",877.4,13903
"5","40_to_44",1080.4,20360
"6","85_to_89",2316.8,12254
"7","55_to_59",1040.3,20603
"8","5_to_9",189.3,3523
"9","0_to_4",234,3759
"10","20_to_24",2095.1,31479
"11","50_to_54",1260.5,23654
"12","75_to_79",820,8528
"13","10_to_14",332.4,5737
"14","80_to_84",1352,10876
"15","45_to_49",1293.9,22179
"16","30_to_34",1285,24007
"17","90+",3923.5,13773
"18","25_to_29",1568.5,26588
"19","15_to_19",1774.8,29015
