"","age","rate","value"
"1","55_to_59",5433.7,104704
"2","45_to_49",6648,113029
"3","15_to_19",5654.6,97228
"4","35_to_39",6388.3,121413
"5","80_to_84",4867.7,30932
"6","0_to_4",1939.7,32844
"7","70_to_74",3145.1,41834
"8","40_to_44",6078.5,112398
"9","75_to_79",3756.3,33833
"10","5_to_9",2088.1,37787
"11","10_to_14",3323.9,60244
"12","60_to_64",5119.7,78190
"13","65_to_69",3702.3,50085
"14","30_to_34",6832.6,132082
"15","85_to_89",7205.1,25279
"16","90+",10676.5,17748
"17","50_to_54",6341.8,116644
"18","20_to_24",8162,129589
"19","25_to_29",7505.8,134558
