"","age","rate","value"
"1","45_to_49",521.2,8934
"2","65_to_69",253.1,3654
"3","10_to_14",23.4,403
"4","50_to_54",529,9927
"5","80_to_84",919,7393
"6","90+",2734.5,9599
"7","55_to_59",452.3,8958
"8","25_to_29",497.9,8440
"9","30_to_34",430,8034
"10","0_to_4",20.6,331
"11","40_to_44",399.7,7533
"12","20_to_24",349.2,5247
"13","35_to_39",373.4,7123
"14","15_to_19",85.3,1394
"15","70_to_74",287.5,4166
"16","85_to_89",1629.5,8619
"17","5_to_9",16.8,312
"18","60_to_64",389.9,6179
"19","75_to_79",517.4,5381
