"","age","rate","value"
"1","55_to_59",334.3,6441
"2","70_to_74",423,5626
"3","0_to_4",23.6,400
"4","15_to_19",38.4,660
"5","50_to_54",347.6,6394
"6","80_to_84",1159.5,7368
"7","60_to_64",378.2,5776
"8","30_to_34",217.4,4202
"9","35_to_39",212.6,4041
"10","5_to_9",16.2,294
"11","85_to_89",1857.5,6517
"12","45_to_49",328.7,5589
"13","90+",2793.1,4643
"14","20_to_24",121,1921
"15","75_to_79",715.8,6447
"16","10_to_14",18.2,330
"17","40_to_44",242.5,4485
"18","65_to_69",362,4897
"19","25_to_29",206.8,3708
