"","age","rate","value"
"1","35_to_39",7633.5,145078
"2","10_to_14",3807.9,69017
"3","70_to_74",3588.2,47729
"4","15_to_19",6336.5,108953
"5","5_to_9",2505,45331
"6","60_to_64",6005.8,91723
"7","50_to_54",7421.1,136496
"8","0_to_4",2424.7,41056
"9","90+",12175,20239
"10","55_to_59",6368.1,122709
"11","45_to_49",7781.6,132303
"12","30_to_34",8127.8,157121
"13","80_to_84",5482.2,34837
"14","25_to_29",8762.7,157091
"15","65_to_69",4288.4,58013
"16","85_to_89",8157,28619
"17","20_to_24",9366.4,148712
"18","40_to_44",7200.6,133147
"19","75_to_79",4265.7,38422
