"","age","rate","value"
"1","55_to_59",4962.1,98277
"2","20_to_24",9066.1,136219
"3","60_to_64",4211.9,66741
"4","85_to_89",5859.6,30993
"5","10_to_14",3073.2,53036
"6","75_to_79",2748.5,28584
"7","15_to_19",6371.1,104154
"8","45_to_49",6563.7,112509
"9","80_to_84",3775.7,30374
"10","40_to_44",5985.6,112801
"11","0_to_4",1581.2,25400
"12","65_to_69",2714.9,39202
"13","5_to_9",1599.9,29775
"14","25_to_29",8068.7,136776
"15","50_to_54",6095.2,114377
"16","70_to_74",2250.8,32618
"17","30_to_34",7008.9,130947
"18","90+",9702.9,34061
"19","35_to_39",6337,120873
