"","age","rate","value"
"1","30_to_34",115.7,2237
"2","35_to_39",119.3,2267
"3","80_to_84",829,5268
"4","10_to_14",7.8,142
"5","85_to_89",1255.5,4405
"6","70_to_74",316.3,4207
"7","65_to_69",263.7,3568
"8","75_to_79",536.6,4833
"9","20_to_24",50.6,804
"10","90+",1743.9,2899
"11","25_to_29",108.4,1944
"12","40_to_44",146.5,2709
"13","50_to_54",221,4065
"14","0_to_4",18,304
"15","15_to_19",14.8,255
"16","45_to_49",203.2,3455
"17","55_to_59",221.3,4264
"18","5_to_9",6.2,113
"19","60_to_64",259.6,3964
