age,rate,value
0_to_4,1854.8,1571
5_to_9,1648.3,1745
10_to_14,2662.2,2508
15_to_19,5216.1,4836
20_to_24,7998.9,7143
25_to_29,6186.6,6579
30_to_34,5832.4,6214
35_to_39,5794.3,5578
40_to_44,5638,5154
45_to_49,6680.5,5589
50_to_54,6215.7,6028
55_to_59,5403,5797
60_to_64,4570.8,4292
65_to_69,3216.9,2849
70_to_74,2961.8,2566
75_to_79,3658.7,2177
80_to_84,4770.7,1894
85_to_89,6206.8,1328
90+,9575.9,928
