"","age","rate","value"
"1","60_to_64",465.5,7109
"2","30_to_34",322.1,6226
"3","75_to_79",845.3,7614
"4","85_to_89",2223.7,7802
"5","50_to_54",443.3,8154
"6","35_to_39",307.8,5850
"7","10_to_14",45.2,820
"8","90+",3412.1,5672
"9","0_to_4",37.7,638
"10","20_to_24",211.6,3359
"11","55_to_59",424,8171
"12","40_to_44",328.6,6076
"13","25_to_29",313.5,5620
"14","5_to_9",39.2,709
"15","15_to_19",79.8,1372
"16","45_to_49",425.9,7241
"17","70_to_74",506.6,6739
"18","65_to_69",437.9,5924
"19","80_to_84",1389.6,8830
