"","age","rate","value"
"1","55_to_59",476.2,9176
"2","5_to_9",67.3,1218
"3","25_to_29",425.9,7636
"4","75_to_79",881.1,7936
"5","20_to_24",341.3,5419
"6","70_to_74",538.4,7162
"7","60_to_64",516.8,7893
"8","40_to_44",408.3,7549
"9","50_to_54",506.6,9317
"10","35_to_39",400.4,7609
"11","65_to_69",482.9,6533
"12","85_to_89",2297.3,8060
"13","80_to_84",1442.6,9167
"14","90+",3523.3,5857
"15","10_to_14",75.8,1373
"16","30_to_34",422.3,8164
"17","0_to_4",70.2,1188
"18","45_to_49",499.8,8498
"19","15_to_19",152.1,2616
