"","age","rate","value"
"1","80_to_84",4556.6,36656
"2","70_to_74",2737.5,39671
"3","15_to_19",7241.2,118378
"4","65_to_69",3296.6,47601
"5","25_to_29",9789.9,165952
"6","90+",11906.7,41797
"7","10_to_14",3534.8,61001
"8","0_to_4",2005.3,32213
"9","50_to_54",7447.7,139758
"10","55_to_59",6081.7,120451
"11","40_to_44",7225.7,136171
"12","30_to_34",8552.9,159792
"13","35_to_39",7697.1,146815
"14","60_to_64",5188.2,82212
"15","75_to_79",3316.8,34494
"16","45_to_49",7909.9,135584
"17","85_to_89",7092.8,37516
"18","5_to_9",1934.3,35998
"19","20_to_24",10832,162752
