"","age","rate","value"
"1","75_to_79",856.7,7716
"2","20_to_24",233.8,3712
"3","30_to_34",345.5,6678
"4","40_to_44",347,6417
"5","45_to_49",443.8,7545
"6","0_to_4",44.9,761
"7","65_to_69",450.8,6098
"8","80_to_84",1408.7,8952
"9","60_to_64",478.1,7302
"10","25_to_29",335.6,6017
"11","55_to_59",436.7,8415
"12","70_to_74",515.8,6861
"13","15_to_19",92,1582
"14","10_to_14",52.5,951
"15","50_to_54",457.9,8423
"16","5_to_9",45.4,822
"17","90+",3454.8,5743
"18","35_to_39",328.9,6251
"19","85_to_89",2255.1,7912
