"","age","rate","value"
"1","35_to_39",318.5,6054
"2","65_to_69",445.1,6021
"3","85_to_89",2241.7,7865
"4","15_to_19",85,1461
"5","55_to_59",430.2,8290
"6","75_to_79",850.8,7663
"7","70_to_74",511.6,6805
"8","30_to_34",334.1,6458
"9","10_to_14",48.8,885
"10","50_to_54",450.1,8278
"11","20_to_24",221.2,3512
"12","80_to_84",1400.4,8899
"13","60_to_64",472.4,7215
"14","25_to_29",323.4,5797
"15","45_to_49",435.1,7398
"16","90+",3436.7,5713
"17","5_to_9",42.1,761
"18","40_to_44",338.2,6254
"19","0_to_4",40.7,689
