"","age","rate","value"
"1","15_to_19",94.3,1542
"2","25_to_29",527.6,8944
"3","70_to_74",299.8,4344
"4","80_to_84",959.2,7716
"5","45_to_49",547.3,9382
"6","10_to_14",27.4,473
"7","75_to_79",541.2,5628
"8","60_to_64",410.4,6503
"9","55_to_59",477.5,9458
"10","30_to_34",455,8500
"11","0_to_4",21.4,343
"12","35_to_39",393.8,7512
"13","85_to_89",1713.3,9062
"14","90+",2889.4,10143
"15","40_to_44",421.8,7949
"16","5_to_9",20.9,389
"17","65_to_69",264,3812
"18","20_to_24",376.2,5653
"19","50_to_54",556.7,10447
