"","age","rate","value"
"1","65_to_69",478.1,6904
"2","90+",3754.9,13181
"3","80_to_84",1265.9,10184
"4","75_to_79",746.1,7759
"5","15_to_19",1146.1,18736
"6","45_to_49",1074.5,18418
"7","50_to_54",1053.3,19766
"8","0_to_4",175.9,2826
"9","35_to_39",913.8,17430
"10","70_to_74",466,6753
"11","40_to_44",897.4,16912
"12","5_to_9",146.5,2726
"13","20_to_24",1531.9,23017
"14","85_to_89",2204.6,11661
"15","55_to_59",866,17152
"16","10_to_14",240.6,4152
"17","30_to_34",1058.2,19770
"18","25_to_29",1292,21901
"19","60_to_64",737.9,11692
