"","age","rate","value"
"1","65_to_69",957.1,12948
"2","70_to_74",923.9,12289
"3","85_to_89",2844,9978
"4","10_to_14",521.8,9457
"5","0_to_4",336.9,5705
"6","80_to_84",1885.4,11981
"7","35_to_39",1266.2,24065
"8","20_to_24",2263.9,35944
"9","90+",4208.5,6996
"10","25_to_29",1593.6,28569
"11","55_to_59",1206.1,23240
"12","30_to_34",1396.2,26990
"13","45_to_49",1363.1,23176
"14","75_to_79",1278.7,11517
"15","40_to_44",1180.9,21836
"16","15_to_19",1792.7,30825
"17","5_to_9",311.1,5629
"18","50_to_54",1365.5,25115
"19","60_to_64",1180.2,18024
