"","age","rate","value"
"1","75_to_79",2016.7,18165
"2","25_to_29",3051.6,54707
"3","70_to_74",1570.3,20888
"4","65_to_69",1735.2,23474
"5","80_to_84",2781.8,17677
"6","45_to_49",2728.3,46386
"7","15_to_19",2981.2,51260
"8","60_to_64",2260,34515
"9","55_to_59",2350.9,45301
"10","90+",5878.5,9772
"11","40_to_44",2398.3,44347
"12","50_to_54",2701,49679
"13","20_to_24",3883.1,61653
"14","5_to_9",768.6,13908
"15","30_to_34",2726.4,52705
"16","85_to_89",4072.7,14289
"17","35_to_39",2506.6,47639
"18","0_to_4",734,12429
"19","10_to_14",1363.3,24709
