n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
27,1,.75443995,.72217351,.032266457,Barking and Dagenham,23apr2020
42,1,.59313506,.44593641,.14719863,Barking and Dagenham,08may2020
35,1,.66874993,.69370198,-.024952069,Barking and Dagenham,01may2020
63,1,.71410739,.43979791,.27430949,Barking and Dagenham,29may2020
58,1,.69352967,.44892398,.24460568,Barking and Dagenham,24may2020
43,1,.59112787,.42262915,.16849872,Barking and Dagenham,09may2020
78,1,.87062365,.21046381,.66015983,Barking and Dagenham,13jun2020
22,1,.50251132,.60146737,-.098956071,Barking and Dagenham,18apr2020
52,1,.44397637,.63237703,-.18840064,Barking and Dagenham,18may2020
26,1,.69095832,.66200191,.028956413,Barking and Dagenham,22apr2020
56,1,.60112685,.52331883,.077808,Barking and Dagenham,22may2020
10,1,.75566447,.71191478,.043749698,Barking and Dagenham,06apr2020
77,1,.87452686,.23302996,.6414969,Barking and Dagenham,12jun2020
2,1,1.1827486,1.1350545,.04769405,Barking and Dagenham,29mar2020
86,1,.25778821,.096606471,.16118173,Barking and Dagenham,21jun2020
68,1,.9152056,.41470718,.50049841,Barking and Dagenham,03jun2020
59,1,.72342879,.43228614,.29114264,Barking and Dagenham,25may2020
41,1,.58751988,.46938577,.11813412,Barking and Dagenham,07may2020
71,1,.98233861,.38219908,.60013956,Barking and Dagenham,06jun2020
19,1,.51389891,.72041279,-.20651387,Barking and Dagenham,15apr2020
8,1,.81006259,.76528102,.044781554,Barking and Dagenham,04apr2020
14,1,.65385646,.73063403,-.076777577,Barking and Dagenham,10apr2020
25,1,.62539494,.61308742,.012307512,Barking and Dagenham,21apr2020
12,1,.70800388,.70147222,.0065316777,Barking and Dagenham,08apr2020
70,1,.98087633,.39638221,.58449411,Barking and Dagenham,05jun2020
81,1,.7676239,.16565837,.60196555,Barking and Dagenham,16jun2020
15,1,.62291068,.75256318,-.12965253,Barking and Dagenham,11apr2020
29,1,.83937472,.82397479,.015399947,Barking and Dagenham,25apr2020
21,1,.49440208,.63497311,-.14057101,Barking and Dagenham,17apr2020
60,1,.73673373,.42896894,.3077648,Barking and Dagenham,26may2020
20,1,.49918047,.67694831,-.17776784,Barking and Dagenham,16apr2020
57,1,.65115732,.48081529,.17034204,Barking and Dagenham,23may2020
48,1,.48365507,.44771692,.035938155,Barking and Dagenham,14may2020
36,1,.63059604,.64885533,-.018259304,Barking and Dagenham,02may2020
31,1,.84005845,.84061146,-.00055300083,Barking and Dagenham,27apr2020
49,1,.46167397,.49810588,-.03643192,Barking and Dagenham,15may2020
76,1,.87664515,.25709569,.61954945,Barking and Dagenham,11jun2020
28,1,.8060264,.78012854,.025897877,Barking and Dagenham,24apr2020
82,1,.68859464,.15600471,.53258991,Barking and Dagenham,17jun2020
46,1,.53775573,.3899197,.14783603,Barking and Dagenham,12may2020
44,1,.58043271,.40124765,.17918506,Barking and Dagenham,10may2020
