"","age","rate","value"
"1","50_to_54",516.2,9494
"2","35_to_39",414.6,7880
"3","45_to_49",512.2,8709
"4","75_to_79",885.9,7979
"5","85_to_89",2304.1,8084
"6","10_to_14",80.8,1464
"7","60_to_64",524.5,8010
"8","5_to_9",72.1,1304
"9","55_to_59",484.4,9335
"10","20_to_24",373.5,5930
"11","40_to_44",420.1,7769
"12","65_to_69",488.3,6606
"13","80_to_84",1448.9,9207
"14","30_to_34",441.3,8531
"15","15_to_19",177.3,3048
"16","90+",3536.6,5879
"17","70_to_74",542.3,7213
"18","25_to_29",452.1,8104
"19","0_to_4",74.2,1257
