"","age","rate","value"
"1","35_to_39",416.7,7949
"2","45_to_49",576,9874
"3","80_to_84",1017,8181
"4","90+",3104.8,10899
"5","70_to_74",314,4550
"6","25_to_29",561.5,9518
"7","65_to_69",277.9,4012
"8","10_to_14",32.2,555
"9","55_to_59",501.9,9940
"10","0_to_4",23.9,384
"11","15_to_19",105.5,1724
"12","85_to_89",1820.9,9631
"13","40_to_44",443.7,8362
"14","5_to_9",24.2,451
"15","75_to_79",568,5907
"16","60_to_64",430.8,6826
"17","50_to_54",584.8,10973
"18","20_to_24",408.8,6143
"19","30_to_34",483.8,9039
