"","age","value","rate"
"1","35_to_39",0,0
"2","25_to_29",1,0.1
"3","5_to_9",0,0
"4","0_to_4",0,0
"5","20_to_24",0,0
"6","80_to_84",0,0
"7","40_to_44",0,0
"8","75_to_79",1,0.1
"9","70_to_74",0,0
"10","60_to_64",0,0
"11","50_to_54",3,0.2
"12","55_to_59",0,0
"13","45_to_49",0,0
"14","65_to_69",0,0
"15","30_to_34",0,0
"16","15_to_19",0,0
"17","85_to_89",0,0
"18","90+",0,0
"19","10_to_14",0,0
