"","age","rate","value"
"1","75_to_79",1711.7,17801
"2","15_to_19",4060.3,66378
"3","0_to_4",808.5,12988
"4","60_to_64",2352.1,37272
"5","35_to_39",3301.2,62968
"6","30_to_34",3664.2,68458
"7","80_to_84",2463.9,19821
"8","50_to_54",3382.1,63465
"9","70_to_74",1316.5,19078
"10","40_to_44",3154.5,59447
"11","25_to_29",4251.9,72076
"12","5_to_9",781.8,14550
"13","10_to_14",1577.6,27226
"14","85_to_89",3933.4,20805
"15","55_to_59",2768.2,54825
"16","20_to_24",5213.2,78329
"17","90+",6502.7,22827
"18","45_to_49",3592,61570
"19","65_to_69",1519,21933
