"","age","rate","value"
"1","10_to_14",4.7,85
"2","50_to_54",141.4,2601
"3","20_to_24",27.6,438
"4","60_to_64",178.5,2726
"5","0_to_4",12.9,219
"6","35_to_39",68.9,1310
"7","25_to_29",56.1,1005
"8","65_to_69",191.2,2587
"9","30_to_34",62.1,1200
"10","40_to_44",87.1,1611
"11","70_to_74",231.5,3079
"12","5_to_9",3.8,68
"13","80_to_84",579.7,3684
"14","45_to_49",125.2,2129
"15","90+",1094.8,1820
"16","75_to_79",383.5,3454
"17","85_to_89",828.6,2907
"18","55_to_59",144.4,2783
"19","15_to_19",9.2,159
