age,value,rate
0_to_4,124,146.4
5_to_9,102,96.3
10_to_14,163,173
15_to_19,406,437.9
20_to_24,706,790.6
25_to_29,788,741
30_to_34,730,685.2
35_to_39,717,744.8
40_to_44,633,692.4
45_to_49,748,894.1
50_to_54,801,825.9
55_to_59,860,801.6
60_to_64,589,627.3
65_to_69,412,465.2
70_to_74,496,572.5
75_to_79,549,922.7
80_to_84,540,1360.2
85_to_89,438,2047.1
90+,323,3333
