"","age","rate","value"
"1","90+",2183.2,7664
"2","50_to_54",445.6,8361
"3","0_to_4",17.9,288
"4","65_to_69",218.3,3152
"5","85_to_89",1342.3,7100
"6","70_to_74",251.1,3639
"7","75_to_79",445.3,4631
"8","45_to_49",442,7576
"9","15_to_19",59,965
"10","60_to_64",331.2,5248
"11","25_to_29",409.6,6944
"12","35_to_39",308.7,5889
"13","55_to_59",380.6,7537
"14","30_to_34",356.8,6666
"15","80_to_84",780.2,6276
"16","40_to_44",333.9,6293
"17","10_to_14",14.9,257
"18","20_to_24",265,3981
"19","5_to_9",9.7,181
