"","age","rate","value"
"1","20_to_24",12452.9,187107
"2","85_to_89",8055.9,42610
"3","65_to_69",3817.6,55124
"4","75_to_79",3779,39301
"5","50_to_54",8650.5,162329
"6","80_to_84",5149.6,41426
"7","15_to_19",8278.7,135339
"8","25_to_29",11425.4,193677
"9","0_to_4",2515.2,40405
"10","30_to_34",10169.4,189994
"11","5_to_9",2441.6,45439
"12","55_to_59",7088.5,140391
"13","60_to_64",6066.5,96130
"14","10_to_14",4292.4,74075
"15","90+",13547.2,47556
"16","40_to_44",8482.7,159860
"17","45_to_49",9190.7,157538
"18","70_to_74",3137.7,45471
"19","35_to_39",9171.6,174940
