age,value,rate
0_to_4,587,726.1
5_to_9,579,518.8
10_to_14,929,1037.1
15_to_19,3417,3878.3
20_to_24,4345,5229.8
25_to_29,3898,4057.9
30_to_34,3533,3473.4
35_to_39,3279,3391.4
40_to_44,3201,3423.3
45_to_49,3532,4112
50_to_54,3862,3782.9
55_to_59,3430,3030.4
60_to_64,2195,2218.2
65_to_69,1158,1237.5
70_to_74,1081,1166.8
75_to_79,1081,1606.6
80_to_84,1181,2358.8
85_to_89,1217,3746.7
90+,1319,6333.7
