"","age","rate","value"
"1","70_to_74",864.4,12526
"2","20_to_24",3589.2,53929
"3","35_to_39",2011.6,38369
"4","0_to_4",456.9,7339
"5","30_to_34",2290.9,42801
"6","80_to_84",1767.5,14219
"7","45_to_49",2246.4,38506
"8","75_to_79",1174.5,12215
"9","55_to_59",1786.7,35386
"10","85_to_89",2882.2,15245
"11","40_to_44",1926.8,36312
"12","50_to_54",2167.3,40670
"13","5_to_9",377.7,7029
"14","60_to_64",1512,23959
"15","15_to_19",2834.7,46341
"16","25_to_29",2741.7,46475
"17","10_to_14",722.5,12469
"18","65_to_69",977.2,14110
"19","90+",4752.5,16683
