age,rate,value
0_to_4,2158.2,1828
5_to_9,1875,1985
10_to_14,2975.3,2803
15_to_19,5791,5369
20_to_24,9070.5,8100
25_to_29,7192.8,7649
30_to_34,6743.8,7185
35_to_39,6593.1,6347
40_to_44,6430,5878
45_to_49,7592.5,6352
50_to_54,7157.1,6941
55_to_59,6233.5,6688
60_to_64,5271.6,4950
65_to_69,3694.5,3272
70_to_74,3378.5,2927
75_to_79,4164.6,2478
80_to_84,5518.8,2191
85_to_89,7291.1,1560
90+,11206.3,1086
