age,value,rate
0_to_4,497,586.8
5_to_9,473,446.8
10_to_14,760,806.7
15_to_19,2340,2523.9
20_to_24,3058,3424.4
25_to_29,2447,2301
30_to_34,2229,2092.1
35_to_39,2015,2093.1
40_to_44,1914,2093.7
45_to_49,2164,2586.6
50_to_54,2243,2312.8
55_to_59,2305,2148.3
60_to_64,1567,1668.8
65_to_69,1062,1199.1
70_to_74,1014,1170.4
75_to_79,1037,1742.8
80_to_84,920,2317.3
85_to_89,725,3388.5
90+,534,5510.3
