age_format,pc
0-4,5.761164569454725
5-9,6.249339113883896
10-14,6.066053364350921
15-19,5.489760671107821
20-24,6.111874801734165
25-29,6.68288040604843
30-34,6.776285643791195
35-39,6.622960064854958
40-44,6.145359698283459
45-49,6.4308625004405915
50-54,6.839730710937225
55-59,6.640583694617744
60-64,5.650135701949174
65-69,4.924042155722392
70-74,4.9716259560819145
75-79,3.5582108491064823
80-84,2.5748123083430263
85-89,1.577314863769342
90+,0.9270029255225406
