age,rate,value
0_to_4,1697.1,1372
5_to_9,1329.6,1484
10_to_14,2457.1,2201
15_to_19,6260.6,5516
20_to_24,9434.2,7838
25_to_29,7835.8,7527
30_to_34,6930,7049
35_to_39,6725.8,6503
40_to_44,6565.4,6139
45_to_49,7848,6741
50_to_54,7051.5,7199
55_to_59,5650.8,6396
60_to_64,4438.5,4392
65_to_69,2593.6,2427
70_to_74,2351.9,2179
75_to_79,2855.1,1921
80_to_84,3912.7,1959
85_to_89,5904.8,1918
90+,9416.6,1961
