age,rate,value
0_to_4,2105.1,1783
5_to_9,1833.4,1941
10_to_14,2923.3,2754
15_to_19,5698.2,5283
20_to_24,8925,7970
25_to_29,7022.6,7468
30_to_34,6589.8,7021
35_to_39,6459.1,6218
40_to_44,6281.2,5742
45_to_49,7452.6,6235
50_to_54,6992.2,6781
55_to_59,6092.7,6537
60_to_64,5160.8,4846
65_to_69,3610.9,3198
70_to_74,3312.7,2870
75_to_79,4085.6,2431
80_to_84,5405.4,2146
85_to_89,7094.8,1518
90+,10917.3,1058
