"","age","rate","value"
"1","0_to_4",69.2,1111
"2","85_to_89",2036.4,10771
"3","15_to_19",229.8,3757
"4","75_to_79",641.6,6672
"5","35_to_39",564.3,10763
"6","70_to_74",368.7,5343
"7","65_to_69",344.1,4968
"8","20_to_24",657.3,9876
"9","55_to_59",603.8,11958
"10","30_to_34",663.3,12393
"11","40_to_44",582.3,10974
"12","80_to_84",1138.7,9160
"13","45_to_49",723.3,12398
"14","50_to_54",714.2,13403
"15","10_to_14",80.3,1385
"16","90+",3466.9,12170
"17","25_to_29",790.8,13405
"18","60_to_64",526.6,8345
"19","5_to_9",63.9,1189
