"","age","rate","value"
"1","10_to_14",3433.6,62233
"2","55_to_59",5676.3,109379
"3","35_to_39",6691.8,127181
"4","5_to_9",2186.1,39560
"5","25_to_29",7811,140030
"6","40_to_44",6356.6,117540
"7","85_to_89",7488.4,26273
"8","0_to_4",2058.3,34852
"9","50_to_54",6611,121595
"10","30_to_34",7146.2,138144
"11","60_to_64",5347.8,81674
"12","75_to_79",3904.5,35168
"13","45_to_49",6934.2,117895
"14","65_to_69",3861.9,52244
"15","20_to_24",8465.3,134405
"16","80_to_84",5043.8,32051
"17","15_to_19",5807.1,99850
"18","70_to_74",3269.4,43488
"19","90+",11107.2,18464
