age,rate,value
0_to_4,2602.2,2204
5_to_9,2204.7,2334
10_to_14,3342.6,3149
15_to_19,6261.3,5805
20_to_24,9905.9,8846
25_to_29,7995.8,8503
30_to_34,7555.6,8050
35_to_39,7375.3,7100
40_to_44,7103.9,6494
45_to_49,8364.6,6998
50_to_54,7874.8,7637
55_to_59,6832.8,7331
60_to_64,5796.6,5443
65_to_69,4085.2,3618
70_to_74,3704,3209
75_to_79,4594.8,2734
80_to_84,6115.7,2428
85_to_89,8211.8,1757
90+,12671.6,1228
