"","age","rate","value"
"1","35_to_39",8972,171132
"2","30_to_34",9964.8,186171
"3","70_to_74",3109.3,45059
"4","25_to_29",11237.3,190488
"5","65_to_69",3779,54566
"6","20_to_24",12274,184419
"7","55_to_59",6999.6,138630
"8","0_to_4",2457.2,39473
"9","40_to_44",8312.9,156659
"10","80_to_84",5116.7,41162
"11","45_to_49",9038.7,154932
"12","10_to_14",4054.7,69974
"13","60_to_64",5995.5,95004
"14","50_to_54",8524.5,159964
"15","85_to_89",8006.4,42348
"16","15_to_19",8064.2,131833
"17","90+",13483.7,47333
"18","75_to_79",3749.5,38994
"19","5_to_9",2332.7,43412
