"","age","rate","value"
"1","35_to_39",522.9,9973
"2","70_to_74",358.4,5194
"3","80_to_84",1121.9,9025
"4","55_to_59",578.9,11466
"5","0_to_4",54.2,870
"6","50_to_54",681.8,12794
"7","15_to_19",180,2942
"8","25_to_29",710.7,12048
"9","5_to_9",52.4,976
"10","10_to_14",65.5,1130
"11","75_to_79",629.1,6542
"12","90+",3412.7,11980
"13","45_to_49",684.8,11739
"14","85_to_89",2006.5,10613
"15","40_to_44",545.5,10280
"16","60_to_64",501.5,7947
"17","20_to_24",561.9,8443
"18","30_to_34",607.2,11345
"19","65_to_69",328.6,4745
