age,rate,value
0_to_4,2319.3,1875
5_to_9,1731,1932
10_to_14,3208.4,2874
15_to_19,7912.1,6971
20_to_24,12486.6,10374
25_to_29,10433.2,10022
30_to_34,9204,9362
35_to_39,8862.6,8569
40_to_44,8452,7903
45_to_49,10105.5,8680
50_to_54,9192.7,9385
55_to_59,7461.9,8446
60_to_64,5922,5860
65_to_69,3567.1,3338
70_to_74,3170,2937
75_to_79,3947.5,2656
80_to_84,5510.5,2759
85_to_89,8300,2696
90+,13651.9,2843
