"","age","rate","value"
"1","60_to_64",508.6,8059
"2","30_to_34",625,11677
"3","15_to_19",192.9,3153
"4","20_to_24",587,8820
"5","50_to_54",690.8,12963
"6","10_to_14",70,1208
"7","35_to_39",535.3,10210
"8","55_to_59",587.1,11627
"9","65_to_69",334,4823
"10","5_to_9",56.8,1057
"11","40_to_44",557.3,10502
"12","75_to_79",633.3,6586
"13","25_to_29",731.9,12406
"14","80_to_84",1128.8,9081
"15","70_to_74",361.9,5245
"16","85_to_89",2016.9,10668
"17","90+",3433.2,12052
"18","0_to_4",58.6,942
"19","45_to_49",697.7,11959
