"","age","rate","value"
"1","85_to_89",3895.2,20603
"2","35_to_39",3247.1,61935
"3","25_to_29",4195.3,71116
"4","20_to_24",5158.4,77506
"5","5_to_9",763.5,14209
"6","55_to_59",2733.8,54143
"7","40_to_44",3100.7,58433
"8","65_to_69",1500,21659
"9","50_to_54",3337.3,62626
"10","0_to_4",792.6,12733
"11","45_to_49",3536.1,60613
"12","10_to_14",1533.3,26461
"13","30_to_34",3607.9,67405
"14","60_to_64",2321.5,36786
"15","70_to_74",1300.6,18848
"16","90+",6438,22600
"17","80_to_84",2435.2,19590
"18","15_to_19",4010.9,65569
"19","75_to_79",1691.9,17595
