"","age","rate","value"
"1","85_to_89",1019.5,3577
"2","45_to_49",156.6,2663
"3","10_to_14",6.1,111
"4","50_to_54",174.6,3211
"5","90+",1365.5,2270
"6","60_to_64",212.5,3246
"7","35_to_39",87.8,1668
"8","20_to_24",36,572
"9","15_to_19",11.1,190
"10","70_to_74",272.5,3624
"11","25_to_29",74.5,1336
"12","80_to_84",689.9,4384
"13","55_to_59",178.1,3431
"14","65_to_69",226,3058
"15","30_to_34",81.6,1578
"16","5_to_9",4.6,84
"17","0_to_4",14.9,253
"18","40_to_44",112.4,2078
"19","75_to_79",454.5,4094
