"","age","rate","value"
"1","30_to_34",488.7,9131
"2","65_to_69",280.8,4055
"3","0_to_4",24.5,393
"4","90+",3141.8,11029
"5","80_to_84",1027.3,8264
"6","75_to_79",572.9,5958
"7","35_to_39",420.8,8026
"8","70_to_74",317.4,4599
"9","25_to_29",568.4,9635
"10","10_to_14",33.1,571
"11","20_to_24",414.2,6223
"12","15_to_19",107.8,1762
"13","55_to_59",505.8,10017
"14","40_to_44",448.1,8444
"15","5_to_9",24.9,463
"16","60_to_64",434.7,6888
"17","50_to_54",589.8,11067
"18","85_to_89",1839.9,9732
"19","45_to_49",580.8,9955
