"","age","rate","value"
"1","50_to_54",8030,150684
"2","75_to_79",3585.3,37286
"3","15_to_19",7629,124718
"4","60_to_64",5632,89244
"5","80_to_84",4902.8,39441
"6","0_to_4",2238.3,35957
"7","25_to_29",10554.9,178921
"8","70_to_74",2957.5,42859
"9","10_to_14",3765.5,64982
"10","65_to_69",3574.7,51617
"11","55_to_59",6583.5,130388
"12","35_to_39",8358.2,159424
"13","30_to_34",9286.5,173498
"14","40_to_44",7801,147013
"15","20_to_24",11589.1,174128
"16","90+",12918.8,45350
"17","5_to_9",2120.9,39471
"18","45_to_49",8519.8,146038
"19","85_to_89",7655.7,40493
