age,rate,value
0_to_4,1951.9,1578
5_to_9,1520.4,1697
10_to_14,2821.1,2527
15_to_19,7134.6,6286
20_to_24,10930.3,9081
25_to_29,9051.7,8695
30_to_34,7999.6,8137
35_to_39,7757,7500
40_to_44,7479.8,6994
45_to_49,8876.1,7624
50_to_54,8087.8,8257
55_to_59,6511.3,7370
60_to_64,5175.2,5121
65_to_69,3069.1,2872
70_to_74,2756.6,2554
75_to_79,3354.5,2257
80_to_84,4649.7,2328
85_to_89,6914.6,2246
90+,11193.3,2331
