"","age","rate","value"
"1","30_to_34",2751.7,53194
"2","0_to_4",742.5,12572
"3","90+",5953.7,9897
"4","60_to_64",2280.7,34831
"5","10_to_14",1398.3,25343
"6","15_to_19",3009.1,51740
"7","75_to_79",2034.6,18326
"8","5_to_9",784,14187
"9","65_to_69",1749.3,23665
"10","35_to_39",2532.6,48133
"11","45_to_49",2761.2,46945
"12","55_to_59",2370.7,45681
"13","40_to_44",2425.5,44851
"14","25_to_29",3079.6,55209
"15","50_to_54",2731.6,50243
"16","85_to_89",4108.9,14416
"17","20_to_24",3907.6,62041
"18","70_to_74",1584.6,21078
"19","80_to_84",2805.7,17829
