"","age","rate","value"
"1","15_to_19",68,1169
"2","20_to_24",190.5,3025
"3","35_to_39",285.8,5431
"4","70_to_74",493.2,6560
"5","0_to_4",32.1,544
"6","80_to_84",1356.5,8620
"7","60_to_64",450.8,6885
"8","5_to_9",33.3,603
"9","65_to_69",423,5722
"10","25_to_29",289.4,5189
"11","75_to_79",827.6,7454
"12","50_to_54",425.5,7826
"13","45_to_49",406.1,6904
"14","85_to_89",2178.4,7643
"15","10_to_14",37.4,677
"16","40_to_44",309.3,5719
"17","55_to_59",407.2,7846
"18","30_to_34",296.8,5737
"19","90+",3352.5,5573
