"","age","rate","value"
"1","20_to_24",115.1,1828
"2","15_to_19",36,619
"3","0_to_4",23.1,391
"4","10_to_14",16.9,306
"5","70_to_74",414.5,5513
"6","75_to_79",700,6305
"7","90+",2702.2,4492
"8","55_to_59",327,6301
"9","30_to_34",208.7,4034
"10","25_to_29",198.9,3566
"11","50_to_54",339.6,6247
"12","80_to_84",1132.3,7195
"13","5_to_9",15,271
"14","45_to_49",318,5407
"15","35_to_39",205.5,3905
"16","40_to_44",236.1,4366
"17","85_to_89",1807.3,6341
"18","65_to_69",353.9,4788
"19","60_to_64",369.2,5639
