age,rate,value
0_to_4,1716.7,1454
5_to_9,1517,1606
10_to_14,2443.5,2302
15_to_19,4860.2,4506
20_to_24,7292.3,6512
25_to_29,5564.1,5917
30_to_34,5281.4,5627
35_to_39,5290.5,5093
40_to_44,5209.2,4762
45_to_49,6150.9,5146
50_to_54,5642.4,5472
55_to_59,4922.1,5281
60_to_64,4118.2,3867
65_to_69,2936.9,2601
70_to_74,2694,2334
75_to_79,3366.3,2003
80_to_84,4372.7,1736
85_to_89,5631.9,1205
90+,8863.9,859
