"","age","rate","value"
"1","0_to_4",872.1,14009
"2","25_to_29",4494.4,76187
"3","60_to_64",2477,39251
"4","40_to_44",3380.8,63712
"5","10_to_14",1762.6,30417
"6","30_to_34",3892.7,72727
"7","55_to_59",2917.8,57788
"8","70_to_74",1377.5,19963
"9","50_to_54",3571.9,67027
"10","20_to_24",5460.6,82046
"11","5_to_9",868.3,16159
"12","90+",6834.3,23991
"13","85_to_89",4129.3,21841
"14","15_to_19",4271.7,69834
"15","45_to_49",3817.2,65430
"16","35_to_39",3531.3,67357
"17","80_to_84",2585.5,20799
"18","65_to_69",1596.8,23057
"19","75_to_79",1789.8,18614
